,result,table,_time,_value
,_result,0,2022-08-30T00:00:00Z,20.879999999999995
,_result,0,2022-08-31T00:00:00Z,17.360000000000014
,_result,0,2022-09-01T00:00:00Z,17.670000000000016
,_result,0,2022-09-02T00:00:00Z,15.230000000000018
,_result,0,2022-09-03T00:00:00Z,13.110000000000014
,_result,0,2022-09-04T00:00:00Z,10.670000000000016
,_result,0,2022-09-05T00:00:00Z,15.200000000000045
,_result,0,2022-09-06T00:00:00Z,13.230000000000018
,_result,0,2022-09-07T00:00:00Z,13.010000000000048
,_result,0,2022-09-08T00:00:00Z,15.760000000000048
,_result,0,2022-09-09T00:00:00Z,16.850000000000023
,_result,0,2022-09-10T00:00:00Z,18.670000000000016
,_result,0,2022-09-11T00:00:00Z,15.260000000000048
,_result,0,2022-09-12T00:00:00Z,15.07000000000005
,_result,0,2022-09-13T00:00:00Z,11.629999999999995
,_result,0,2022-09-14T00:00:00Z,10.810000000000002
,_result,0,2022-09-15T00:00:00Z,14.560000000000002
,_result,0,2022-09-16T00:00:00Z,17.260000000000048
,_result,0,2022-09-17T00:00:00Z,13.980000000000018
,_result,0,2022-09-18T00:00:00Z,10.670000000000016
,_result,0,2022-09-19T00:00:00Z,7.439999999999998
,_result,0,2022-09-20T00:00:00Z,7.5
,_result,0,2022-09-21T00:00:00Z,6.160000000000025
,_result,0,2022-09-22T00:00:00Z,7.420000000000016
,_result,0,2022-09-23T00:00:00Z,6.350000000000023
,_result,0,2022-09-24T00:00:00Z,5.25
,_result,0,2022-09-25T00:00:00Z,3.9500000000000455
,_result,0,2022-09-26T00:00:00Z,9.720000000000027
,_result,0,2022-09-27T00:00:00Z,13.07000000000005
,_result,0,2022-09-28T00:00:00Z,12.32000000000005
,_result,0,2022-09-29T00:00:00Z,11.950000000000045
,_result,0,2022-09-30T00:00:00Z,12.629999999999995
,_result,0,2022-10-01T00:00:00Z,14.220000000000027
,_result,0,2022-10-02T00:00:00Z,13.480000000000018
,_result,0,2022-10-03T00:00:00Z,11.32000000000005
,_result,0,2022-10-04T00:00:00Z,9.78000000000003
,_result,0,2022-10-05T00:00:00Z,7.480000000000018
,_result,0,2022-10-06T00:00:00Z,4.610000000000014
,_result,0,2022-10-07T00:00:00Z,7.1299999999999955
,_result,0,2022-10-08T00:00:00Z,9.700000000000045
,_result,0,2022-10-09T00:00:00Z,7.5
,_result,0,2022-10-10T00:00:00Z,12.700000000000045
,_result,0,2022-10-11T00:00:00Z,9.420000000000016
,_result,0,2022-10-12T00:00:00Z,9.07000000000005
,_result,0,2022-10-13T00:00:00Z,11.360000000000014
,_result,0,2022-10-14T00:00:00Z,10.980000000000018
,_result,0,2022-10-15T00:00:00Z,9.260000000000048
,_result,0,2022-10-16T00:00:00Z,7.230000000000018
,_result,0,2022-10-17T00:00:00Z,7.510000000000048
,_result,0,2022-10-18T00:00:00Z,7.6299999999999955
,_result,0,2022-10-19T00:00:00Z,5.410000000000025
,_result,0,2022-10-20T00:00:00Z,6.670000000000016
,_result,0,2022-10-21T00:00:00Z,5.07000000000005
,_result,0,2022-10-22T00:00:00Z,2.840000000000032
,_result,0,2022-10-23T00:00:00Z,17.230000000000018
,_result,0,2022-10-24T00:00:00Z,17.689999999999998
,_result,0,2022-10-25T00:00:00Z,17.160000000000025
,_result,0,2022-10-26T00:00:00Z,18.939999999999998
,_result,0,2022-10-27T00:00:00Z,19.32000000000005
,_result,0,2022-10-28T00:00:00Z,20.010000000000048
,_result,0,2022-10-29T00:00:00Z,20.379999999999995
,_result,0,2022-10-30T00:00:00Z,19.879999999999995
,_result,0,2022-10-31T00:00:00Z,19.230000000000018
,_result,0,2022-11-01T00:00:00Z,19.29000000000002
,_result,0,2022-11-02T00:00:00Z,18.57000000000005
,_result,0,2022-11-03T00:00:00Z,18.510000000000048
,_result,0,2022-11-04T00:00:00Z,19.660000000000025
,_result,0,2022-11-05T00:00:00Z,19.360000000000014
,_result,0,2022-11-06T00:00:00Z,20.110000000000014
,_result,0,2022-11-07T00:00:00Z,19.450000000000045
,_result,0,2022-11-08T00:00:00Z,19.670000000000016
,_result,0,2022-11-09T00:00:00Z,18.860000000000014
,_result,0,2022-11-10T00:00:00Z,19.07000000000005
,_result,0,2022-11-11T00:00:00Z,19.879999999999995
,_result,0,2022-11-12T00:00:00Z,19.75
,_result,0,2022-11-13T00:00:00Z,19.670000000000016
,_result,0,2022-11-14T00:00:00Z,19.510000000000048
,_result,0,2022-11-14T23:11:35.15984451Z,19.670000000000016

