,result,table,_time,_value
,_result,0,2022-07-03T00:00:00Z,28.8
,_result,0,2022-07-04T00:00:00Z,33.4
,_result,0,2022-07-05T00:00:00Z,35.7
,_result,0,2022-07-06T00:00:00Z,31.1
,_result,0,2022-07-07T00:00:00Z,29.3
,_result,0,2022-07-08T00:00:00Z,29.3
,_result,0,2022-07-09T00:00:00Z,24.1
,_result,0,2022-07-10T00:00:00Z,26.2
,_result,0,2022-07-11T00:00:00Z,25.9
,_result,0,2022-07-12T00:00:00Z,24.4
,_result,0,2022-07-13T00:00:00Z,25.5
,_result,0,2022-07-14T00:00:00Z,29.3
,_result,0,2022-07-15T00:00:00Z,35
,_result,0,2022-07-16T00:00:00Z,32.8
,_result,0,2022-07-17T00:00:00Z,31
,_result,0,2022-07-18T00:00:00Z,28
,_result,0,2022-07-19T00:00:00Z,30.8
,_result,0,2022-07-20T00:00:00Z,33.2
,_result,0,2022-07-21T00:00:00Z,36
,_result,0,2022-07-22T00:00:00Z,37.8
,_result,0,2022-07-23T00:00:00Z,38.3
,_result,0,2022-07-24T00:00:00Z,40
,_result,0,2022-07-25T00:00:00Z,32.1
,_result,0,2022-07-26T00:00:00Z,33.8
,_result,0,2022-07-27T00:00:00Z,34.4
,_result,0,2022-07-28T00:00:00Z,31.8
,_result,0,2022-07-29T00:00:00Z,31.7
,_result,0,2022-07-30T00:00:00Z,17.5
,_result,0,2022-07-31T00:00:00Z,30.7
,_result,0,2022-08-01T00:00:00Z,28.9
,_result,0,2022-08-02T00:00:00Z,31.7
,_result,0,2022-08-03T00:00:00Z,31.6
,_result,0,2022-08-04T00:00:00Z,31.7
,_result,0,2022-08-05T00:00:00Z,33.7
,_result,0,2022-08-06T00:00:00Z,36.6
,_result,0,2022-08-07T00:00:00Z,36.8
,_result,0,2022-08-08T00:00:00Z,32
,_result,0,2022-08-09T00:00:00Z,33.1
,_result,0,2022-08-10T00:00:00Z,23.2
,_result,0,2022-08-11T00:00:00Z,27.3
,_result,0,2022-08-12T00:00:00Z,29.4
,_result,0,2022-08-13T00:00:00Z,30.9
,_result,0,2022-08-14T00:00:00Z,24.3
,_result,0,2022-08-15T00:00:00Z,28.2
,_result,0,2022-08-16T00:00:00Z,34.1
,_result,0,2022-08-17T00:00:00Z,33.7
,_result,0,2022-08-18T00:00:00Z,36.5
,_result,0,2022-08-19T00:00:00Z,38.5
,_result,0,2022-08-20T00:00:00Z,38.1
,_result,0,2022-08-21T00:00:00Z,24.1
,_result,0,2022-08-22T00:00:00Z,20
,_result,0,2022-08-23T00:00:00Z,21.5
,_result,0,2022-08-24T00:00:00Z,22.2
,_result,0,2022-08-25T00:00:00Z,20.6
,_result,0,2022-08-26T00:00:00Z,30
,_result,0,2022-08-27T00:00:00Z,33.6
,_result,0,2022-08-28T00:00:00Z,35.2
,_result,0,2022-08-29T00:00:00Z,32.5
,_result,0,2022-08-30T00:00:00Z,31.3
,_result,0,2022-08-31T00:00:00Z,31.9
,_result,0,2022-09-01T00:00:00Z,29.9
,_result,0,2022-09-02T00:00:00Z,20.9
,_result,0,2022-09-03T00:00:00Z,18.9
,_result,0,2022-09-04T00:00:00Z,25.8
,_result,0,2022-09-05T00:00:00Z,26.5
,_result,0,2022-09-06T00:00:00Z,27.4
,_result,0,2022-09-07T00:00:00Z,29.7
,_result,0,2022-09-08T00:00:00Z,31.6
,_result,0,2022-09-09T00:00:00Z,32.3
,_result,0,2022-09-10T00:00:00Z,30.6
,_result,0,2022-09-11T00:00:00Z,25.8
,_result,0,2022-09-12T00:00:00Z,23.4
,_result,0,2022-09-13T00:00:00Z,23.1
,_result,0,2022-09-14T00:00:00Z,26.2
,_result,0,2022-09-15T00:00:00Z,29.4
,_result,0,2022-09-16T00:00:00Z,29.5
,_result,0,2022-09-17T00:00:00Z,17.6
,_result,0,2022-09-18T00:00:00Z,13
,_result,0,2022-09-19T00:00:00Z,19.8
,_result,0,2022-09-20T00:00:00Z,13.4
,_result,0,2022-09-21T00:00:00Z,19
,_result,0,2022-09-22T00:00:00Z,16.9
,_result,0,2022-09-23T00:00:00Z,18.7
,_result,0,2022-09-24T00:00:00Z,18.9
,_result,0,2022-09-25T00:00:00Z,21.9
,_result,0,2022-09-26T00:00:00Z,21.8
,_result,0,2022-09-27T00:00:00Z,20.9
,_result,0,2022-09-28T00:00:00Z,21.1
,_result,0,2022-09-29T00:00:00Z,19.5
,_result,0,2022-09-30T00:00:00Z,25.7
,_result,0,2022-10-01T00:00:00Z,26
,_result,0,2022-10-02T00:00:00Z,23.9
,_result,0,2022-10-03T00:00:00Z,21.9
,_result,0,2022-10-04T00:00:00Z,19.1
,_result,0,2022-10-05T00:00:00Z,18.4
,_result,0,2022-10-06T00:00:00Z,20.1
,_result,0,2022-10-07T00:00:00Z,21.8
,_result,0,2022-10-08T00:00:00Z,26.4
,_result,0,2022-10-13T00:00:00Z,25.2
,_result,0,2022-10-14T00:00:00Z,21.7
,_result,0,2022-10-15T00:00:00Z,24.6
,_result,0,2022-10-16T00:00:00Z,22
,_result,0,2022-10-17T00:00:00Z,21.9
,_result,0,2022-10-18T00:00:00Z,22.4
,_result,0,2022-10-19T00:00:00Z,24
,_result,0,2022-10-20T00:00:00Z,24.3
,_result,0,2022-10-21T00:00:00Z,21.6
,_result,0,2022-10-22T00:00:00Z,22.7
,_result,0,2022-10-23T00:00:00Z,21
,_result,0,2022-10-24T00:00:00Z,20.4
,_result,0,2022-10-25T00:00:00Z,24.5
,_result,0,2022-10-26T00:00:00Z,23.3
,_result,0,2022-10-27T00:00:00Z,23.5
,_result,0,2022-10-28T00:00:00Z,24.6
,_result,0,2022-10-29T00:00:00Z,24.6
,_result,0,2022-10-30T00:00:00Z,23.8
,_result,0,2022-10-31T00:00:00Z,24.2
,_result,0,2022-11-01T00:00:00Z,23.7
,_result,0,2022-11-02T00:00:00Z,24.8
,_result,0,2022-11-03T00:00:00Z,24.1
,_result,0,2022-11-04T00:00:00Z,25.4
,_result,0,2022-11-05T00:00:00Z,24
,_result,0,2022-11-06T00:00:00Z,23.8
,_result,0,2022-11-07T00:00:00Z,23.8
,_result,0,2022-11-08T00:00:00Z,24.2
,_result,0,2022-11-09T00:00:00Z,24.8
,_result,0,2022-11-10T00:00:00Z,24.6
,_result,0,2022-11-11T00:00:00Z,24.3
,_result,0,2022-11-12T00:00:00Z,24
,_result,0,2022-11-13T00:00:00Z,24.9
,_result,0,2022-11-14T00:00:00Z,26
,_result,0,2022-11-14T23:11:36.406579734Z,24.5

